"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1","deve criar transferência","","Sat Sep 06 20:59:03 UTC 2025","passed","Sat Sep 06 20:59:03 UTC 2025","","transferController","transferController","deve criar transferência"
"","3","deve acessar usuários autenticado","","Sat Sep 06 20:59:05 UTC 2025","passed","Sat Sep 06 20:59:05 UTC 2025","","HTTP Externo REST","HTTP Externo REST","deve acessar usuários autenticado"
"","3","deve acessar a documentação Swagger","","Sat Sep 06 20:59:05 UTC 2025","passed","Sat Sep 06 20:59:05 UTC 2025","","HTTP Externo REST","HTTP Externo REST","deve acessar a documentação Swagger"
"","15","deve consultar usuários","","Sat Sep 06 20:59:01 UTC 2025","passed","Sat Sep 06 20:59:01 UTC 2025","","GraphQL Controller","GraphQL Controller","deve consultar usuários"
"","3","deve listar transferências","","Sat Sep 06 20:59:03 UTC 2025","passed","Sat Sep 06 20:59:03 UTC 2025","","transferController","transferController","deve listar transferências"
"","0","deve retornar todos os usuários","","Sat Sep 06 20:59:03 UTC 2025","passed","Sat Sep 06 20:59:03 UTC 2025","","userController","userController","deve retornar todos os usuários"
"","22","deve acessar o endpoint GraphQL","","Sat Sep 06 20:59:03 UTC 2025","passed","Sat Sep 06 20:59:03 UTC 2025","","HTTP Externo GraphQL","HTTP Externo GraphQL","deve acessar o endpoint GraphQL"
"","28","deve criar usuário via mutation","","Sat Sep 06 20:59:01 UTC 2025","passed","Sat Sep 06 20:59:01 UTC 2025","","GraphQL Controller","GraphQL Controller","deve criar usuário via mutation"
"","32","deve autenticar e obter token","","Sat Sep 06 20:59:05 UTC 2025","passed","Sat Sep 06 20:59:05 UTC 2025","","HTTP Externo REST","HTTP Externo REST","deve autenticar e obter token"
"","1","deve retornar o usuário se encontrado","","Sat Sep 06 20:59:03 UTC 2025","passed","Sat Sep 06 20:59:03 UTC 2025","","userController","userController","deve retornar o usuário se encontrado"
"","1","deve retornar 404 se usuário não encontrado","","Sat Sep 06 20:59:03 UTC 2025","passed","Sat Sep 06 20:59:03 UTC 2025","","userController","userController","deve retornar 404 se usuário não encontrado"
"","5","deve autenticar e consultar usuários","","Sat Sep 06 20:59:03 UTC 2025","passed","Sat Sep 06 20:59:03 UTC 2025","","HTTP Externo GraphQL","HTTP Externo GraphQL","deve autenticar e consultar usuários"
